total,Not_wound,Fibrin,Granulation,Necrosed,image_name
0,0.7260829,0.16116293,0.06696602,0.045788493,03-CON-D28-R.JPG
1,0.77745146,0.15729083,0.04821666,0.01704129,03-CON-D16-R.JPG
2,0.75520986,0.17906776,0.03499628,0.030726317,06-CON-D21-L.JPG
3,0.75073963,0.21058623,0.021449765,0.017223645,04-CON-D25-R.JPG
4,0.76881236,0.08539112,0.13494053,0.010856123,02-CON-D07-L.JPG
5,0.8235331,0.14270179,0.026111403,0.0076537426,01-CON-D18-L.JPG
6,0.7008294,0.15019584,0.11247457,0.036500927,03-CON-D04-R.JPG
7,0.86431706,0.117976196,0.013426075,0.0042808843,01-CON-D04-L.JPG
8,0.75710756,0.15385085,0.057945676,0.031096533,08-CON-D23-L.JPG
9,0.76045585,0.17323194,0.03828425,0.028027236,06-CON-D14-L.JPG
10,0.7490249,0.14579086,0.057121255,0.04806311,03-CON-D00-R.jpg
11,0.7569457,0.18317844,0.037439395,0.022437127,10-CON-D18-R.JPG
12,0.8105507,0.13204484,0.036325205,0.021079602,04-CON-D00-R.jpg
13,0.8112887,0.15972988,0.016682588,0.012299034,02-CON-D18-L.JPG
14,0.77773666,0.16900949,0.033425193,0.019827822,05-CON-D21-L.JPG
15,0.76855356,0.17015229,0.042128656,0.019164812,07-CON-D14-R.JPG
16,0.7099379,0.13561346,0.12432657,0.030120704,05-CON-D04-L.JPG
17,0.71779346,0.19343597,0.04757411,0.04119619,09-CON-D28-R.JPG
18,0.7375434,0.17279287,0.052267857,0.037395675,03-CON-D30-R.JPG
19,0.7884492,0.14051159,0.04665788,0.02438046,06-CON-D00-L.jpg
20,0.72107005,0.18891382,0.049738012,0.040277846,09-CON-D25-R.JPG
21,0.6871143,0.1947904,0.06551706,0.052579116,04-CON-D32-R.JPG
22,0.7522875,0.16920711,0.04340806,0.035098337,09-CON-D18-R.JPG
23,0.76707023,0.16203591,0.059431866,0.011461852,05-CON-D09-L.JPG
24,0.76574415,0.16077846,0.047052044,0.02642639,08-CON-D14-L.JPG
25,0.7899669,0.17040183,0.024579922,0.015052009,05-CON-D18-L.JPG
26,0.8114902,0.093266085,0.08522651,0.010015726,04-CON-D11-R.JPG
27,0.7677279,0.16290903,0.046145566,0.023217944,09-CON-D14-R.JPG
28,0.7513891,0.15369654,0.057116102,0.037797797,09-CON-D11-R.JPG
29,0.81876516,0.15040211,0.018456366,0.01237627,02-CON-D16-L.JPG
30,0.80318564,0.1153528,0.07470025,0.0067616245,04-CON-D07-R.JPG
31,0.772671,0.14309965,0.055360347,0.028868835,07-CON-D04-R.JPG
32,0.72999394,0.17765796,0.055301134,0.037047707,02-CON-D30-L.JPG
33,0.7507613,0.16670085,0.06266597,0.019871399,07-CON-D09-R.JPG
34,0.75273794,0.17654453,0.04219559,0.028522251,10-CON-D16-R.JPG
35,0.69112504,0.18521276,0.06890466,0.054757208,04-CON-D30-R.JPG
36,0.7669753,0.15716629,0.04650735,0.029351711,08-CON-D25-L.JPG
37,0.77006936,0.17722805,0.029677952,0.023022842,07-CON-D23-R.JPG
38,0.83861864,0.12540324,0.025914084,0.010063868,02-CON-D09-L.JPG
39,0.72683907,0.14559504,0.099258535,0.028307594,03-CON-D02-R.JPG
40,0.8039203,0.17098734,0.01630773,0.008784416,01-CON-D25-L.JPG
41,0.7662201,0.16592342,0.046594504,0.021262486,06-CON-D09-L.JPG
42,0.76781213,0.17790742,0.031277496,0.023002118,07-CON-D25-R.JPG
43,0.7688006,0.15803975,0.05420439,0.018954335,05-CON-D14-L.JPG
44,0.75206214,0.17465064,0.041270677,0.032015868,06-CON-D16-L.JPG
45,0.8330298,0.09202271,0.06976159,0.0051847463,01-CON-D09-L.JPG
46,0.79148346,0.16046903,0.027777113,0.020269688,06-CON-D02-L.JPG
47,0.7814134,0.16414508,0.036492962,0.017948702,04-CON-D18-R.JPG
48,0.7560647,0.16002685,0.048779313,0.035130225,09-CON-D21-R.JPG
49,0.83636516,0.14696729,0.013836658,0.0028307065,01-CON-D14-L.JPG
50,0.75411826,0.1633051,0.061051935,0.021524703,08-CON-D11-L.JPG
51,0.7657862,0.14440009,0.07677027,0.013043135,07-CON-D07-R.JPG
52,0.70929813,0.11772636,0.14763844,0.025337728,05-CON-D07-L.JPG
53,0.71598357,0.17136821,0.06715818,0.04549202,05-CON-D28-L.JPG
54,0.7404167,0.15653475,0.06707653,0.035972595,03-CON-D18-R.JPG
55,0.7725759,0.16076882,0.042166032,0.024488265,07-CON-D16-R.JPG
56,0.6538397,0.16737475,0.09680314,0.08198103,02-CON-D32-L.JPG
57,0.7385295,0.17221431,0.053575426,0.03567886,08-CON-D18-L.JPG
58,0.7765022,0.17898414,0.02872651,0.01578753,01-CON-D30-L.JPG
59,0.73336405,0.19776872,0.038066268,0.030800683,04-CON-D28-R.JPG
60,0.7808245,0.16601296,0.03313653,0.020025948,07-CON-D21-R.JPG
61,0.74179757,0.18323681,0.0412117,0.033754718,01-CON-D00-L.jpg
